K5F3.PV;K5PCV4I.PV
2977.827;39.37015
2927.134;39.77588
2900.535;39.65128
2890.979;39.66401
2885.439;39.64339
2809.635;38.14972
2804.816;38.08671
2777.173;37.26514
2730.778;37.11661
2719.188;36.6687
2689.761;36.02682
2674.899;35.45544
2641.725;35.47266
2601.043;35.07307
2588.087;35.04053
2555.345;34.55958
2502.082;34.00441
2498.646;33.78367
2491.026;33.28376
2489.323;32.92448
2483.96;33.60369
2459.861;33.5198
2456.49;33.43434
2447.842;32.20294
2439.831;32.90774
2430.125;33.02089
2426.697;32.10611
2426.456;33.03983
2421.88;32.83207
2410.625;32.72691
2408.758;32.95857
2406.617;32.7756
2401.326;32.85442
2401.054;32.14407
2388.957;32.48252
2387.809;32.49638
2385.722;32.32029
2385.351;32.59422
2377.961;31.57059
2376.71;32.08463
2370.028;32.23635
2368.696;31.99698
2368.235;32.38267
2363.921;31.58218
2357.623;31.86087
2354.634;31.92125
2344.088;31.11614
2343.381;32.01686
2338.799;31.85415
2331.495;31.7637
2330.097;31.96134
2330.033;31.90785
2329.739;31.8767
2329.154;31.43694
2326.439;31.97704
2320.308;31.58595
2316.467;31.75762
2316.267;31.18863
2312.758;31.25372
2311.769;31.08626
2309.775;31.55265
2307.794;31.4017
2299.544;31.10242
2298.324;30.95686
2290.304;31.10935
2288.75;31.1937
2285.007;31.07673
2281.057;31.21904
2275.13;31.13049
2269.64;30.41881
2268.359;31.05623
2266.732;31.15253
2255.781;30.8208
2255.765;30.75579
2252.473;30.60059
2252.302;30.60605
2239.244;30.53579
2235.226;30.32475
2231.033;30.58424
2230.88;30.55424
2229.629;30.61988
2229.473;30.53338
2229.002;30.58567
2228.469;30.65419
2228.243;30.53149
2224.984;30.57501
2224;30.58668
2220.866;30.28495
2219.692;29.89616
2208.733;30.33545
2199.332;30.24693
2193.885;30.11079
2192.958;30.22802
2185.87;29.99833
2157.921;29.2981
2154.72;29.28479
2150.045;29.64603
2148.135;29.18897
2146.102;29.23045
2143.463;29.56043
2143.147;29.41589
2142.087;29.24477
2137.768;29.18794
2134.533;29.52426
2133.193;29.38754
2125.43;29.43637
2122.633;29.36596
2107.202;28.83019
2100.274;29.0394
2073.989;28.2392
2067.081;28.22639
2056.694;28.32824
2050.198;28.40488
2048.069;28.36636
2045.908;28.02416
2043.201;28.34425
2031.251;27.91109
2026.347;28.12623
2010.948;27.66476
2010.17;27.71646
2005.532;27.71809
1998.044;27.68544
1984.534;27.67616
1978.256;27.51986
1977.031;27.40403
1973.89;27.41206
1971.471;27.3306
1944.042;27.01734
1921.048;26.80279
